#LAMBDA z
10790.0 0.00000
10795.0 0.00000
10800.0 0.00000
10805.0 0.00000
10810.0 0.00000
10815.0 0.00000
10820.0 0.00000
10825.0 0.00000
10830.0 0.00000
10835.0 0.00000
10840.0 0.00000
10845.0 0.00000
10850.0 0.00000
10855.0 0.00000
10860.0 0.00000
10865.0 0.00000
10870.0 0.00000
10875.0 0.00000
10880.0 0.00000
10885.0 0.00000
10890.0 0.00000
10895.0 0.00000
10900.0 0.00000
10905.0 0.00000
10910.0 0.00000
10915.0 0.00000
10920.0 0.00000
10925.0 0.00000
10930.0 0.00000
10935.0 0.00000
10940.0 0.00000
10945.0 0.00000
10950.0 0.00000
10955.0 0.00000
10960.0 0.00000
10965.0 0.00000
10970.0 0.00000
10975.0 0.00000
10980.0 0.00000
10985.0 0.00000
10990.0 0.00000
10995.0 0.00000
11000.0 0.00000
