Title: UBVRI Light Curves of 44 Type Ia Supernovae 
Authors: Jha S., Kirshner R.P., Challis P., Garnavich P.M., Matheson T., 
         Soderberg A.M., Graves G.J.M., Hicken M., Alves J.F., Arce H.G., 
         Balog Z., Barmby P., Barton E.J., Berlind P., Bragg A.E., Briceno C.B.,
         Brown W.R., Buckley J.H., Caldwell N., Calkins M.L., Carter B.J., 
         Concannon K.D., Donnelly R.H., Eriksen K.A., Fabricant D.G., 
         Falco E.E., Fiore F., Garcia M.R., Gomez M., Grogin N.A., Groner T., 
         Groot P.J., Haisch K.E., Hartmann L., Hergenrother C.W., Holman M.J., 
         Huchra J.P., Jayawardhana R., Jerius D., Kannappan S.J., Kim D., 
         Kleyna J.T., Kochanek C.S., Koranyi D.M., Krockenberger M., Lada C.J., 
         Luhman K.L., Luu J.X., Macri L.M., Mader J.A., Mahdavi A., Marengo M., 
         Marsden B.G., McLeod B.A., McNamara B.R., Megeath S.T., Moraru D., 
         Mossman A.E., Muench A.A., Munoz J.A., Muzerolle J., Naranjo O., 
         Nelson-Patel K., Pahre M.A., Patten B.M., Peters J., Peters W., 
         Raymond J.C., Rines K., Schild R.E., Sobczak G.J., Spahr T.B., 
         Stauffer J.R., Stefanik R.P., Szentgyorgyi A.H., Tollestrup E.V., 
         Vaisanen P., Vikhlinin A., Wang Z., Willner S.P., Wolk S.J., 
         Zajac J.M., Zhao P., Stanek K.Z. 
Table: Natural System UBVRI passbands
================================================================================
Byte-by-byte Description of file: datafile5.txt
--------------------------------------------------------------------------------
   Bytes Format Units Label       Explanations
B  435 0.981 0.990 0.991 0.997 
B  440 0.994 0.997 0.999 1.000 
B  445 1.000 1.000 1.000 0.997 
B  450 0.991 0.989 0.986 0.981 
B  455 0.977 0.973 0.967 0.961 
B  460 0.948 0.944 0.935 0.929 
B  465 0.896 0.894 0.882 0.877 
B  470 0.814 0.814 0.799 0.797 
B  475 0.711 0.715 0.696 0.698 
B  480 0.602 0.608 0.588 0.592 
B  485 0.488 0.497 0.475 0.482 
B  490 0.386 0.396 0.374 0.383 
B  495 0.305 0.315 0.295 0.303 
B  500 0.246 0.254 0.236 0.244 
B  505 0.183 0.191 0.174 0.182 
B  510 0.126 0.133 0.119 0.126 
B  515 0.087 0.093 0.082 0.087 
B  520 0.056 0.060 0.052 0.056 
B  525 0.034 0.037 0.031 0.034 
B  530 0.021 0.023 0.019 0.021 
B  535 0.015 0.018 0.013 0.016 
B  540 0.013 0.015 0.012 0.013 
B  545 0.014 0.015 0.012 0.014 
B  550 0.018 0.018 0.016 0.016 
B  555 0.025 0.024 0.022 0.021 
B  560 0.029 0.027 0.025 0.024 
B  565 0.025 0.024 0.022 0.021 
B  570 0.018 0.018 0.015 0.015 
B  575 0.009 0.009 0.008 0.008 
B  580 0.004 0.004 0.003 0.003 
B  585 0.001 0.001 0.001 0.001 
B  590 0.000 0.001 0.000 0.000 
B  595 0.000 0.000 0.000 0.000 
V  470 0.000 0.000 0.000 0.000 
V  475 0.000 0.010 0.000 0.011 
V  480 0.001 0.094 0.001 0.100 
V  485 0.040 0.285 0.043 0.304 
V  490 0.245 0.496 0.260 0.527 
V  495 0.531 0.662 0.562 0.700 
V  500 0.732 0.777 0.770 0.817 
V  505 0.845 0.854 0.883 0.892 
V  510 0.908 0.907 0.942 0.941 
V  515 0.946 0.944 0.975 0.971 
V  520 0.971 0.970 0.992 0.990 
V  525 0.988 0.987 1.000 0.999 
V  530 0.997 0.998 1.000 1.000 
V  535 1.000 1.000 0.994 0.994 
V  540 0.994 0.995 0.980 0.980 
V  545 0.981 0.981 0.959 0.959 
V  550 0.958 0.960 0.930 0.931 
V  555 0.925 0.930 0.891 0.895 
V  560 0.882 0.891 0.845 0.852 
V  565 0.829 0.841 0.789 0.800 
V  570 0.768 0.787 0.727 0.744 
V  575 0.700 0.723 0.659 0.680 
V  580 0.625 0.654 0.586 0.612 
V  585 0.548 0.581 0.511 0.541 
V  590 0.470 0.508 0.435 0.471 
V  595 0.393 0.435 0.363 0.401 
V  600 0.321 0.365 0.295 0.335 
V  605 0.256 0.300 0.233 0.273 
V  610 0.198 0.241 0.180 0.219 
V  615 0.149 0.190 0.134 0.171 
V  620 0.108 0.146 0.097 0.131 
V  625 0.076 0.110 0.068 0.098 
V  630 0.052 0.081 0.046 0.072 
V  635 0.034 0.058 0.030 0.051 
V  640 0.021 0.041 0.019 0.036 
V  645 0.013 0.028 0.011 0.024 
V  650 0.008 0.019 0.007 0.016 
V  655 0.004 0.013 0.004 0.012 
V  660 0.002 0.009 0.002 0.007 
V  665 0.001 0.005 0.001 0.005 
V  670 0.001 0.003 0.000 0.003 
V  675 0.000 0.002 0.000 0.002 
V  680 0.000 0.001 0.000 0.001 
V  685 0.000 0.001 0.000 0.001 
V  690 0.000 0.000 0.000 0.000 
R  540 0.000 0.000 0.000 0.000 
R  550 0.001 0.000 0.001 0.000 
R  560 0.173 0.129 0.179 0.135 
R  570 0.718 0.690 0.735 0.711 
R  580 0.944 0.927 0.958 0.947 
R  590 0.996 0.986 1.000 0.997 
R  600 1.000 0.999 0.994 1.000 
R  610 0.986 1.000 0.969 0.989 
R  620 0.960 0.993 0.933 0.971 
R  630 0.922 0.977 0.886 0.944 
R  640 0.876 0.952 0.833 0.910 
R  650 0.823 0.920 0.775 0.871 
R  660 0.764 0.883 0.713 0.830 
R  670 0.701 0.842 0.651 0.786 
R  680 0.633 0.794 0.584 0.738 
R  690 0.559 0.739 0.514 0.685 
R  700 0.486 0.681 0.446 0.629 
R  710 0.417 0.621 0.383 0.574 
R  720 0.353 0.562 0.324 0.519 
R  730 0.294 0.505 0.270 0.466 
R  740 0.240 0.448 0.221 0.413 
R  750 0.193 0.391 0.177 0.361 
R  760 0.152 0.337 0.139 0.310 
R  770 0.117 0.287 0.106 0.263 
R  780 0.088 0.241 0.080 0.221 
R  790 0.065 0.201 0.059 0.184 
R  800 0.048 0.165 0.044 0.151 
R  810 0.035 0.135 0.032 0.124 
R  820 0.025 0.110 0.023 0.101 
R  830 0.018 0.088 0.016 0.081 
R  840 0.012 0.070 0.011 0.065 
R  850 0.009 0.056 0.008 0.052 
R  860 0.005 0.044 0.005 0.041 
R  870 0.004 0.034 0.003 0.032 
R  880 0.002 0.027 0.002 0.024 
R  890 0.002 0.021 0.002 0.019 
R  900 0.001 0.016 0.001 0.015 
R  910 0.000 0.012 0.000 0.011 
R  920 0.000 0.009 0.000 0.008 
R  930 0.000 0.007 0.000 0.007 
R  940 0.000 0.005 0.000 0.005 
R  950 0.000 0.004 0.000 0.004 
R  960 0.000 0.003 0.000 0.003 
R  970 0.000 0.002 0.000 0.002 
R  980 0.000 0.002 0.000 0.001 
R  990 0.000 0.001 0.000 0.001 
R 1000 0.000 0.001 0.000 0.001 
R 1010 0.000 0.001 0.000 0.000 
R 1020 0.000 0.000 0.000 0.000 
I  690 0.000 0.000 0.000 0.000 
I  700 0.003 0.000 0.003 0.000 
I  710 0.077 0.001 0.077 0.001 
I  720 0.326 0.073 0.328 0.073 
I  730 0.630 0.927 0.634 0.928 
I  740 0.841 0.993 0.846 0.994 
I  750 0.946 1.000 0.950 1.000 
I  760 0.989 0.886 0.992 0.885 
I  770 1.000 0.945 1.000 0.940 
I  780 0.994 0.976 0.991 0.969 
I  790 0.979 0.938 0.976 0.930 
I  800 0.970 0.826 0.967 0.819 
I  810 0.950 0.799 0.948 0.795 
I  820 0.932 0.837 0.935 0.836 
I  830 0.916 0.879 0.923 0.882 
I  840 0.895 0.886 0.905 0.892 
I  850 0.876 0.875 0.886 0.881 
I  860 0.843 0.917 0.849 0.920 
I  870 0.829 0.697 0.830 0.694 
I  880 0.800 0.597 0.795 0.591 
I  890 0.765 0.278 0.757 0.273 
I  900 0.726 0.009 0.719 0.009 
I  910 0.681 0.000 0.681 0.000 
I  920 0.633 0.000 0.642 0.000 
I  930 0.581 0.000 0.601 0.000 
I  940 0.529 0.000 0.556 0.000 
I  950 0.476 0.000 0.505 0.000 
I  960 0.426 0.000 0.447 0.000 
I  970 0.377 0.000 0.385 0.000 
I  980 0.330 0.000 0.323 0.000 
I  990 0.284 0.000 0.263 0.000 
I 1000 0.239 0.000 0.208 0.000 
I 1010 0.195 0.000 0.161 0.000 
I 1020 0.154 0.000 0.122 0.000 
I 1030 0.117 0.000 0.091 0.000 
I 1040 0.085 0.000 0.066 0.000 
I 1050 0.059 0.000 0.046 0.000 
I 1060 0.040 0.000 0.032 0.000 
I 1070 0.026 0.000 0.021 0.000 
I 1080 0.016 0.000 0.014 0.000 
I 1090 0.009 0.000 0.008 0.000 
I 1100 0.004 0.000 0.004 0.000 
I 1110 0.000 0.000 0.000 0.000 
